NAME                                                 VERSION                TYPE     
Json.NET                                             13.0.3.27908           dotnet    
Microsoft Azure Client Pipeline                      1.3100.23.21004        dotnet    
Microsoft Azure.Storage.Common client library        12.1500.23.21104       dotnet    
Microsoft Azure.Storage.Files.Shares client library  12.1400.23.21104       dotnet    
Microsoft.Bcl.AsyncInterfaces                        4.700.20.21406         dotnet    
Microsoft.CSharp                                     8.0.1124.51707         dotnet    
Microsoft.VisualBasic                                8.0.1124.51707         dotnet    
Microsoft.VisualBasic.Core                           13.0.1124.51707        dotnet    
Microsoft.Win32.Primitives                           8.0.1124.51707         dotnet    
Microsoft.Win32.Registry                             8.0.1124.51707         dotnet    
System                                               8.0.1124.51707         dotnet    
System.AppContext                                    8.0.1124.51707         dotnet    
System.Buffers                                       8.0.1124.51707         dotnet    
System.Collections                                   8.0.1124.51707         dotnet    
System.Collections.Concurrent                        8.0.1124.51707         dotnet    
System.Collections.Immutable                         8.0.1124.51707         dotnet    
System.Collections.NonGeneric                        8.0.1124.51707         dotnet    
System.Collections.Specialized                       8.0.1124.51707         dotnet    
System.ComponentModel                                8.0.1124.51707         dotnet    
System.ComponentModel.Annotations                    8.0.1124.51707         dotnet    
System.ComponentModel.DataAnnotations                8.0.1124.51707         dotnet    
System.ComponentModel.EventBasedAsync                8.0.1124.51707         dotnet    
System.ComponentModel.Primitives                     8.0.1124.51707         dotnet    
System.ComponentModel.TypeConverter                  8.0.1124.51707         dotnet    
System.Configuration                                 8.0.1124.51707         dotnet    
System.Console                                       8.0.1124.51707         dotnet    
System.Core                                          8.0.1124.51707         dotnet    
System.Data                                          8.0.1124.51707         dotnet    
System.Data.Common                                   8.0.1124.51707         dotnet    
System.Data.DataSetExtensions                        8.0.1124.51707         dotnet    
System.Diagnostics.Contracts                         8.0.1124.51707         dotnet    
System.Diagnostics.Debug                             8.0.1124.51707         dotnet    
System.Diagnostics.DiagnosticSource                  8.0.1124.51707         dotnet    
System.Diagnostics.FileVersionInfo                   8.0.1124.51707         dotnet    
System.Diagnostics.Process                           8.0.1124.51707         dotnet    
System.Diagnostics.StackTrace                        8.0.1124.51707         dotnet    
System.Diagnostics.TextWriterTraceListener           8.0.1124.51707         dotnet    
System.Diagnostics.Tools                             8.0.1124.51707         dotnet    
System.Diagnostics.TraceSource                       8.0.1124.51707         dotnet    
System.Diagnostics.Tracing                           8.0.1124.51707         dotnet    
System.Drawing                                       8.0.1124.51707         dotnet    
System.Drawing.Primitives                            8.0.1124.51707         dotnet    
System.Dynamic.Runtime                               8.0.1124.51707         dotnet    
System.Formats.Asn1                                  8.0.1124.51707         dotnet    
System.Formats.Tar                                   8.0.1124.51707         dotnet    
System.Globalization                                 8.0.1124.51707         dotnet    
System.Globalization.Calendars                       8.0.1124.51707         dotnet    
System.Globalization.Extensions                      8.0.1124.51707         dotnet    
System.IO                                            8.0.1124.51707         dotnet    
System.IO.Compression                                8.0.1124.51707         dotnet    
System.IO.Compression.Brotli                         8.0.1124.51707         dotnet    
System.IO.Compression.FileSystem                     8.0.1124.51707         dotnet    
System.IO.Compression.ZipFile                        8.0.1124.51707         dotnet    
System.IO.FileSystem                                 8.0.1124.51707         dotnet    
System.IO.FileSystem.AccessControl                   8.0.1124.51707         dotnet    
System.IO.FileSystem.DriveInfo                       8.0.1124.51707         dotnet    
System.IO.FileSystem.Primitives                      8.0.1124.51707         dotnet    
System.IO.FileSystem.Watcher                         8.0.1124.51707         dotnet    
System.IO.Hashing                                    6.0.21.52210           dotnet    
System.IO.IsolatedStorage                            8.0.1124.51707         dotnet    
System.IO.MemoryMappedFiles                          8.0.1124.51707         dotnet    
System.IO.Pipes                                      8.0.1124.51707         dotnet    
System.IO.Pipes.AccessControl                        8.0.1124.51707         dotnet    
System.IO.UnmanagedMemoryStream                      8.0.1124.51707         dotnet    
